componentName,Type,Order,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51,Frame52,Frame53,Frame54,Frame55,Frame56,Frame57,Frame58,Frame59,Frame60,Frame61,Frame62,Frame63,Frame64,Frame65,Frame66,Frame67,Frame68,Frame69,Frame70,Frame71,Frame72,Frame73,Frame74,Frame75,Frame76,Frame77,Frame78,Frame79,Frame80,Frame81,Frame82,Frame83,Frame84,Frame85,Frame86,Frame87,Frame88,Frame89,Frame90,Frame91,Frame92,Frame93,Frame94,Frame95,Frame96,Frame97,Frame98,Frame99,Frame100,Frame101,Frame102,Frame103,Frame104,Frame105,Frame106,Frame107,Frame108,Frame109,Frame110,Frame111,Frame112,Frame113,Frame114,Frame115,Frame116,Frame117,Frame118,Frame119,Frame120,Frame121,Frame122,Frame123,Frame124,Frame125,Frame126,Frame127,Frame128,Frame129,Frame130,Frame131,Frame132,Frame133,Frame134,Frame135,Frame136,Frame137,Frame138,Frame139,Frame140,Frame141,Frame142,Frame143,Frame144,Frame145,Frame146,Frame147,Frame148,Frame149,Frame150,Frame151,Frame152,Frame153,Frame154,Frame155,Frame156,Frame157,Frame158,Frame159,Frame160,Frame161,Frame162,Frame163,Frame164,Frame165,Frame166,Frame167,Frame168,Frame169,Frame170,Frame171,Frame172,Frame173,Frame174,Frame175,Frame176,Frame177,Frame178,Frame179,Frame180,Frame181,Frame182,Frame183,Frame184,Frame185,Frame186,Frame187,Frame188,Frame189,Frame190,Frame191,Frame192
knife,object,11,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.71,0.77,0.16,0.62,0.04,0.71,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.03,0.0,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.23,0.0,0.01,0.06,0.02,0.01,0.5,0.01,0.0,0.0,0.02,0.0,0.28,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.02,0.02,0.02,0.22,0.01,0.17,0.02,0.02,0.0,0.0,0.03,0.02,0.02,0.01,0.01,0.01,0.33,0.0,0.02,0.02,0.02,0.18,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.11,0.0,0.05,0.02,0.01,0.01,0.01,0.22,0.01,0.01,0.02,0.02,0.02,0.02,0.01
cucumber,object,12,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.02,0.03,0.14,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.22,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.03,0.02,0.0,0.02,0.03,0.0,0.0,0.53,0.01,0.64,0.14,0.66,0.65,0.2,0.16,0.63,0.16,0.33,0.0,0.57,0.13,0.03,0.01,0.01,0.05,0.0,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.06,0.0,0.0,0.01,0.01,0.0,0.0,0.39,0.03,0.01,0.25,0.38,0.46,0.25,0.38,0.38,0.03,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.12,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.19,0.15,0.75,0.35,0.7,0.0,0.02,0.0,0.0,0.02,0.01,0.74,0.18,0.0,0.02,0.0,0.75,0.75,0.43,0.75,0.75,0.77,0.76,0.01,0.17,0.75,0.33,0.01,0.73,0.31,0.14,0.36,0.2,0.28,0.0,0.29,0.19,0.07,0.77,0.75,0.79,0.78,0.75,0.4,0.15,0.51,0.73,0.75,0.44,0.0,0.0,0.0,0.28,0.15,0.3,0.38,0.06,0.07,0.07,0.33,0.45,0.1,0.08,0.01,0.01,0.01,0.01
plate,object,13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.01,0.08,0.02,0.0,0.02,0.02,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.0,0.01,0.01,0.0,0.02,0.01,0.0,0.78,0.76,0.65,0.8,0.27,0.12,0.1,0.8,0.8,0.73,0.79,0.01,0.29,0.02,0.1,0.8,0.03,0.77,0.19,0.66,0.6,0.05,0.03,0.05,0.05,0.0,0.05,0.01,0.0,0.02,0.01,0.01,0.01,0.19,0.16,0.01,0.0,0.01,0.0,0.0,0.06,0.0,0.06,0.24,0.03,0.43,0.04,0.2,0.0,0.01,0.01,0.01,0.04,0.01,0.01,0.0,0.03,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.28,0.15,0.36,0.7,0.64,0.62,0.06,0.66,0.58,0.09,0.74,0.17,0.32,0.24,0.15
fridge,location,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.63,0.03,0.77,0.74,0.77,0.82,0.21,0.08,0.51,0.51,0.13,0.14,0.53,0.6,0.12,0.07,0.0,0.0,0.0,0.04,0.01,0.01,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.07,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.12,0.0,0.04,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.03,0.0
counter,location,15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.14,0.0,0.0,0.26,0.1,0.21,0.21,0.0,0.24,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.19,0.3,0.04,0.54,0.16,0.12,0.0,0.0,0.0,0.0,0.19,0.0,0.01,0.0,0.13,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.07,0.04,0.0,0.01,0.08,0.01,0.05,0.0,0.41,0.1,0.16
garbage,location,16,0.01,0.05,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.07,0.0,0.07,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.07,0.01,0.0,0.0,0.0,0.01,0.0,0.13,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04
bowl,object,17,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.01,0.02,0.0,0.01,0.0,0.12,0.03,0.03,0.0,0.03,0.0,0.0,0.03,0.03,0.02,0.0,0.09,0.01,0.0,0.01,0.0,0.27,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.24,0.0,0.01,0.01,0.65,0.01,0.01,0.03,0.01,0.01,0.01,0.04,0.01,0.03,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.03,0.0,0.03,0.12,0.05,0.02,0.01,0.02,0.01,0.0,0.02,0.0,0.05,0.0,0.01,0.16,0.23,0.01,0.03,0.18,0.21,0.01,0.01,0.0,0.02,0.0,0.02,0.5,0.01,0.03,0.02,0.14,0.19,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.0,0.07,0.18,0.38,0.0,0.0,0.01,0.01,0.0,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.07,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.08,0.01,0.25,0.0,0.01,0.01,0.3,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.02,0.16,0.05
peel,action,18,0.02,0.01,0.05,0.06,0.01,0.01,0.01,0.0,0.0,0.13,0.01,0.0,0.0,0.1,0.05,0.01,0.0,0.01,0.27,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.06,0.01,0.01,0.09,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.03,0.3,0.02,0.15,0.01,0.01,0.01,0.0,0.02,0.07,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.03,0.0,0.02,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.06,0.01,0.02,0.0,0.01,0.0,0.0,0.05,0.19,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.05,0.19,0.54,0.0,0.02,0.06,0.01,0.0,0.01,0.02,0.03,0.01,0.01,0.0,0.4,0.01,0.04,0.01,0.0,0.0,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.04,0.03,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.15,0.01,0.01,0.04,0.01,0.01,0.2,0.07,0.0,0.01,0.0,0.13,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.04,0.01,0.01
stir,action,19,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.0,0.0,0.17,0.0,0.11,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.67,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.05,0.01,0.01,0.0,0.01,0.0,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.02,0.01,0.03,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
frying pan,object,20,0.02,0.01,0.01,0.01,0.28,0.21,0.0,0.01,0.0,0.05,0.29,0.01,0.11,0.2,0.1,0.01,0.01,0.0,0.01,0.05,0.0,0.01,0.01,0.21,0.05,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.04,0.01,0.07,0.14,0.01,0.07,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.01,0.04,0.0,0.18,0.01,0.01,0.01,0.0,0.02,0.04,0.02,0.51,0.01,0.03,0.17,0.04,0.31,0.03,0.04,0.01,0.01,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.0,0.02,0.01,0.88,0.03,0.02,0.07,0.0,0.02,0.02,0.02,0.01,0.01,0.02,0.1,0.07,0.02,0.01,0.0,0.01,0.01,0.19,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.02,0.02,0.0,0.0,0.03,0.01,0.02,0.06,0.03,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.15,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.13,0.0,0.0,0.11,0.01,0.01,0.0,0.02,0.14,0.02
throw,action,21,0.01,0.05,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.07,0.0,0.07,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.07,0.01,0.0,0.0,0.0,0.01,0.0,0.13,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04
add,action,22,0.0,0.0,0.0,0.01,0.08,0.01,0.0,0.0,0.0,0.01,0.05,0.01,0.01,0.13,0.01,0.0,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.59,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.11,0.08,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.2,0.02,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
carrot,object,23,0.12,0.01,0.03,0.06,0.02,0.01,0.01,0.03,0.0,0.02,0.01,0.01,0.05,0.02,0.04,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.0,0.03,0.0,0.0,0.15,0.0,0.01,0.01,0.03,0.01,0.08,0.01,0.0,0.02,0.01,0.04,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.42,0.02,0.02,0.01,0.01,0.04,0.3,0.02,0.01,0.02,0.37,0.22,0.01,0.07,0.05,0.0,0.03,0.1,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.05,0.01,0.01,0.02,0.0,0.06,0.0,0.03,0.01,0.01,0.03,0.02,0.02,0.0,0.02,0.02,0.07,0.0,0.03,0.02,0.1,0.02,0.22,0.02,0.06,0.01,0.02,0.38,0.03,0.03,0.01,0.02,0.1,0.36,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.05,0.06,0.06,0.02,0.0,0.04,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.02,0.05,0.05,0.02,0.05,0.05,0.05,0.04,0.01,0.01,0.05,0.09,0.05,0.01,0.02,0.41,0.02,0.76,0.04,0.47,0.31,0.21,0.02,0.04,0.05,0.02,0.04,0.05,0.01,0.16,0.03,0.05,0.01,0.02,0.05,0.22,0.02,0.01,0.01,0.24,0.02,0.02,0.05,0.01,0.02,0.07,0.01,0.02,0.01,0.02,0.04,0.05
onion,object,24,0.01,0.01,0.09,0.08,0.08,0.01,0.01,0.06,0.01,0.04,0.01,0.01,0.05,0.06,0.05,0.01,0.01,0.01,0.06,0.0,0.01,0.01,0.01,0.13,0.08,0.01,0.02,0.04,0.01,0.01,0.08,0.01,0.01,0.08,0.01,0.03,0.01,0.06,0.07,0.0,0.03,0.01,0.05,0.0,0.13,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.0,0.15,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.03,0.01,0.09,0.08,0.02,0.03,0.06,0.01,0.12,0.01,0.6,0.02,0.02,0.16,0.01,0.09,0.02,0.02,0.27,0.01,0.02,0.01,0.01,0.01,0.02,0.09,0.06,0.0,0.01,0.56,0.27,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.57,0.13,0.07,0.05,0.59,0.04,0.57,0.1,0.03,0.33,0.04,0.81,0.93,0.01,0.01,0.02,0.01,0.01,0.02,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.01,0.01,0.05,0.18,0.1,0.02,0.04,0.0,0.59,0.01,0.04,0.04,0.01,0.14,0.12,0.05,0.04,0.03,0.04,0.04,0.02,0.22,0.06,0.04,0.01,0.05,0.09,0.01,0.03,0.12,0.5,0.14,0.12,0.14,0.32,0.03,0.09,0.08,0.01,0.32,0.02,0.02,0.02,0.05
pineapple,object,25,0.01,0.01,0.12,0.14,0.01,0.02,0.01,0.07,0.04,0.02,0.01,0.01,0.01,0.03,0.12,0.01,0.03,0.12,0.22,0.11,0.01,0.01,0.01,0.05,0.03,0.01,0.04,0.03,0.01,0.01,0.09,0.01,0.01,0.05,0.01,0.0,0.01,0.03,0.02,0.01,0.01,0.01,0.06,0.01,0.14,0.0,0.01,0.06,0.02,0.01,0.01,0.03,0.06,0.01,0.01,0.03,0.04,0.01,0.01,0.07,0.01,0.05,0.02,0.03,0.04,0.02,0.02,0.62,0.2,0.0,0.01,0.0,0.0,0.44,0.01,0.01,0.01,0.0,0.24,0.0,0.0,0.01,0.01,0.01,0.0,0.04,0.0,0.05,0.0,0.04,0.04,0.21,0.08,0.01,0.01,0.06,0.03,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.0,0.05,0.0,0.0,0.12,0.05,0.3,0.06,0.03,0.01,0.07,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.48,0.01,0.06,0.01,0.11,0.01,0.08,0.02,0.0,0.01,0.01,0.03,0.83,0.04,0.02,0.01,0.02,0.01,0.11,0.1,0.08,0.11,0.11,0.1,0.11,0.96,0.82,0.08,0.19,0.08,0.06,0.02,0.45,0.01,0.01,0.07,0.04,0.03,0.27,0.76,0.07,0.11,0.09,0.1,0.11,0.05,0.33,0.38,0.11,0.04,0.08,0.01,0.01,0.02,0.07,0.35,0.08,0.1,0.13,0.07,0.02,0.11,0.09,0.02,0.09,0.44,0.08,0.05,0.08
scrub,action,26,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.03,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.27,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.06,0.04,0.06,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0
